Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
     7.605         -2.02982471       -2.02982471        2.0033e-12
     7.620         -2.01819073       -2.01819073        2.0308e-12
     7.635         -2.00655229       -2.00655229        2.0592e-12
     7.650         -1.99491286       -1.99491286        2.0883e-12
     7.665         -1.98327589       -1.98327589        2.1183e-12
     7.680         -1.97164485       -1.97164485        2.1489e-12
     7.695         -1.96002315       -1.96002315        2.1805e-12
     7.710         -1.94841421       -1.94841421        2.2129e-12
     7.725         -1.93682140       -1.93682140        2.2462e-12
     7.740         -1.92524810       -1.92524810        2.2802e-12
     7.755         -1.91369765       -1.91369765        2.3150e-12
     7.770         -1.90217335       -1.90217335        2.3508e-12
     7.785         -1.89067851       -1.89067851        2.3874e-12
     7.800         -1.87921637       -1.87921637        2.4245e-12
     7.815         -1.86779018       -1.86779018        2.4625e-12
     7.830         -1.85640314       -1.85640314        2.5013e-12
     7.845         -1.84505843       -1.84505843        2.5409e-12
     7.860         -1.83375919       -1.83375919        2.5813e-12
     7.875         -1.82250854       -1.82250854        2.6221e-12
     7.890         -1.81130955       -1.81130955        2.6639e-12
     7.905         -1.80016526       -1.80016526        2.7063e-12
     7.920         -1.78907870       -1.78907870        2.7491e-12
     7.935         -1.77805283       -1.77805283        2.7929e-12
     7.950         -1.76709059       -1.76709059        2.8373e-12
     7.965         -1.75619488       -1.75619488        2.8824e-12
     7.980         -1.74536857       -1.74536857        2.9279e-12
     7.995         -1.73461447       -1.73461447        2.9741e-12
     8.010         -1.72393537       -1.72393537        3.0207e-12
     8.025         -1.71333400       -1.71333400        3.0678e-12
     8.040         -1.70281308       -1.70281308        3.1155e-12
     8.055         -1.69237526       -1.69237526        3.1637e-12
     8.070         -1.68202314       -1.68202314        3.2123e-12
     8.085         -1.67175931       -1.67175931        3.2616e-12
     8.100         -1.66158628       -1.66158628        3.3111e-12
     8.115         -1.65150655       -1.65150655        3.3611e-12
     8.130         -1.64152253       -1.64152253        3.4115e-12
     8.145         -1.63163663       -1.63163663        3.4623e-12
     8.160         -1.62185119       -1.62185119        3.5134e-12
     8.175         -1.61216849       -1.61216849        3.5647e-12
     8.190         -1.60259079       -1.60259079        3.6162e-12
     8.205         -1.59312028       -1.59312028        3.6682e-12
     8.220         -1.58375912       -1.58375912        3.7204e-12
     8.235         -1.57450939       -1.57450939        3.7728e-12
     8.250         -1.56537316       -1.56537316        3.8254e-12
     8.265         -1.55635242       -1.55635242        3.8780e-12
     8.280         -1.54744913       -1.54744913        3.9306e-12
     8.295         -1.53866517       -1.53866517        3.9835e-12
     8.310         -1.53000239       -1.53000239        4.0363e-12
     8.325         -1.52146259       -1.52146259        4.0892e-12
     8.340         -1.51304752       -1.51304752        4.1422e-12
     8.355         -1.50475886       -1.50475886        4.1951e-12
     8.370         -1.49659825       -1.49659825        4.2479e-12
     8.385         -1.48856728       -1.48856728        4.3006e-12
     8.400         -1.48066748       -1.48066748        4.3532e-12
     8.415         -1.47290033       -1.47290033        4.4056e-12
     8.430         -1.46526726       -1.46526726        4.4578e-12
     8.445         -1.45776963       -1.45776963        4.5099e-12
     8.460         -1.45040878       -1.45040878        4.5617e-12
     8.475         -1.44318596       -1.44318596        4.6132e-12
     8.490         -1.43610240       -1.43610240        4.6645e-12
     8.505         -1.42915924       -1.42915924        4.7156e-12
     8.520         -1.42235760       -1.42235760        4.7660e-12
     8.535         -1.41569853       -1.41569853        4.8161e-12
     8.550         -1.40918303       -1.40918303        4.8659e-12
     8.565         -1.40281204       -1.40281204        4.9152e-12
     8.580         -1.39658646       -1.39658646        4.9640e-12
     8.595         -1.39050713       -1.39050713        5.0124e-12
     8.610         -1.38457483       -1.38457483        5.0604e-12
     8.625         -1.37879031       -1.37879031        5.1077e-12
     8.640         -1.37315423       -1.37315423        5.1545e-12
     8.655         -1.36766723       -1.36766723        5.2007e-12
     8.670         -1.36232988       -1.36232988        5.2462e-12
     8.685         -1.35714272       -1.35714272        5.2913e-12
     8.700         -1.35210620       -1.35210620        5.3355e-12
     8.715         -1.34722077       -1.34722077        5.3790e-12
     8.730         -1.34248678       -1.34248678        5.4219e-12
     8.745         -1.33790455       -1.33790455        5.4639e-12
     8.760         -1.33347436       -1.33347436        5.5052e-12
     8.775         -1.32919642       -1.32919642        5.5458e-12
     8.790         -1.32507090       -1.32507090        5.5853e-12
     8.805         -1.32109792       -1.32109792        5.6242e-12
     8.820         -1.31727757       -1.31727757        5.6621e-12
     8.835         -1.31360984       -1.31360984        5.6992e-12
     8.850         -1.31009473       -1.31009473        5.7354e-12
     8.865         -1.30673217       -1.30673217        5.7705e-12
     8.880         -1.30352202       -1.30352202        5.8047e-12
     8.895         -1.30046412       -1.30046412        5.8380e-12
     8.910         -1.29755827       -1.29755827        5.8704e-12
     8.925         -1.29480421       -1.29480421        5.9017e-12
     8.940         -1.29220163       -1.29220163        5.9321e-12
     8.955         -1.28975019       -1.28975019        5.9615e-12
     8.970         -1.28744950       -1.28744950        5.9897e-12
     8.985         -1.28529912       -1.28529912        6.0167e-12
     9.000         -1.28329859       -1.28329859        6.0427e-12
     9.015         -1.28144737       -1.28144737        6.0676e-12
     9.030         -1.27974493       -1.27974493        6.0913e-12
     9.045         -1.27819065       -1.27819065        6.1140e-12
     9.060         -1.27678389       -1.27678389        6.1355e-12
     9.075         -1.27552399       -1.27552399        6.1560e-12
     9.090         -1.27441022       -1.27441022        6.1753e-12
     9.105         -1.27344183       -1.27344183        6.1933e-12
     9.120         -1.27261804       -1.27261804        6.2101e-12
     9.135         -1.27193800       -1.27193800        6.2259e-12
     9.150         -1.27140087       -1.27140087        6.2403e-12
     9.165         -1.27100574       -1.27100574        6.2537e-12
     9.180         -1.27075168       -1.27075168        6.2659e-12
     9.195         -1.27063773       -1.27063773        6.2768e-12
     9.210         -1.27066289       -1.27066289        6.2863e-12
     9.225         -1.27082613       -1.27082613        6.2947e-12
     9.240         -1.27112640       -1.27112640        6.3018e-12
     9.255         -1.27156259       -1.27156259        6.3076e-12
     9.270         -1.27213360       -1.27213360        6.3123e-12
     9.285         -1.27283828       -1.27283828        6.3158e-12
     9.300         -1.27367545       -1.27367545        6.3181e-12
     9.315         -1.27464391       -1.27464391        6.3189e-12
     9.330         -1.27574243       -1.27574243        6.3185e-12
     9.345         -1.27696976       -1.27696976        6.3167e-12
     9.360         -1.27832462       -1.27832462        6.3138e-12
     9.375         -1.27980571       -1.27980571        6.3098e-12
     9.390         -1.28141170       -1.28141170        6.3043e-12
     9.405         -1.28314125       -1.28314125        6.2976e-12
     9.420         -1.28499300       -1.28499300        6.2899e-12
     9.435         -1.28696555       -1.28696555        6.2808e-12
     9.450         -1.28905751       -1.28905751        6.2703e-12
     9.465         -1.29126744       -1.29126744        6.2585e-12
     9.480         -1.29359390       -1.29359390        6.2457e-12
     9.495         -1.29603544       -1.29603544        6.2315e-12
     9.510         -1.29859057       -1.29859057        6.2159e-12
     9.525         -1.30125781       -1.30125781        6.1993e-12
     9.540         -1.30403566       -1.30403566        6.1813e-12
     9.555         -1.30692259       -1.30692259        6.1622e-12
     9.570         -1.30991708       -1.30991708        6.1418e-12
     9.585         -1.31301758       -1.31301758        6.1202e-12
     9.600         -1.31622253       -1.31622253        6.0973e-12
     9.615         -1.31953038       -1.31953038        6.0736e-12
     9.630         -1.32293956       -1.32293956        6.0485e-12
     9.645         -1.32644847       -1.32644847        6.0221e-12
     9.660         -1.33005554       -1.33005554        5.9945e-12
     9.675         -1.33375915       -1.33375915        5.9659e-12
     9.690         -1.33755772       -1.33755772        5.9361e-12
     9.705         -1.34144964       -1.34144964        5.9053e-12
     9.720         -1.34543328       -1.34543328        5.8733e-12
     9.735         -1.34950704       -1.34950704        5.8402e-12
     9.750         -1.35366930       -1.35366930        5.8060e-12
     9.765         -1.35791843       -1.35791843        5.7707e-12
     9.780         -1.36225281       -1.36225281        5.7343e-12
     9.795         -1.36667082       -1.36667082        5.6968e-12
     9.810         -1.37117083       -1.37117083        5.6584e-12
     9.825         -1.37575122       -1.37575122        5.6188e-12
     9.840         -1.38041037       -1.38041037        5.5782e-12
     9.855         -1.38514665       -1.38514665        5.5365e-12
     9.870         -1.38995845       -1.38995845        5.4936e-12
     9.885         -1.39484416       -1.39484416        5.4499e-12
     9.900         -1.39980217       -1.39980217        5.4052e-12
     9.915         -1.40483087       -1.40483087        5.3595e-12
     9.930         -1.40992866       -1.40992866        5.3129e-12
     9.945         -1.41509395       -1.41509395        5.2651e-12
     9.960         -1.42032515       -1.42032515        5.2165e-12
     9.975         -1.42562068       -1.42562068        5.1670e-12
     9.990         -1.43097897       -1.43097897        5.1168e-12
    10.005         -1.43639846       -1.43639846        5.0655e-12
    10.020         -1.44187760       -1.44187760        5.0133e-12
    10.035         -1.44741483       -1.44741483        4.9603e-12
